,names,values
1445,Ruth,F
1446,Ryan,M
1447,Ryszard,M
1448,Ryuhei,M
1449,RyåÕå_nosuke,M
1450,RyåÕå_zåÕåâ,M
1451,RåÕå©mi,M
1452,S.,M
1453,S.M.,M
1454,Saad,M
1455,Sabina,F
1456,Sabine,F
1457,Sacha,M
1458,Sada,M
1459,Sagal,M
1460,Sai,M
1461,Salim,M
1462,Sally,F
1463,Salvo,M
1464,Sam,M
1465,Samantha,F
1466,Sammy,M
1467,Samuel,M
1468,Sandra,F
1469,Sandrine,F
1470,Sandy,M
1471,Sanezumi,M
1472,Sanjay,M
1473,Sanping,M
1474,Santana,M
1475,Santiago,M
1476,Santo,M
1477,Sara,F
1478,Sarah,F
1479,Sasha,M
1480,Satoru,M
1481,Satoshi,M
1482,Satyajit,M
1483,Saul,M
